est_age,year,count
1,1986,18
1,1987,58
1,1988,2
1,1990,10
1,1991,133
1,1992,12
1,1993,2
1,1994,45
1,1995,1
1,1996,17
1,1997,3
1,1998,1
1,1999,33
1,2000,2
1,2001,1
1,2002,4
1,2003,2
1,2004,5
1,2005,2
1,2008,1
1,2010,2
1,2011,1
1,2012,16
1,2013,5
1,2014,5
1,2015,4
1,2018,41
1,2019,10
1,2020,48
2,1986,19
2,1987,255
2,1988,12
2,1989,22
2,1990,31
2,1991,45
2,1992,271
2,1993,44
2,1994,332
2,1995,507
2,1996,304
2,1997,89
2,1998,24
2,1999,83
2,2000,30
2,2001,23
2,2002,61
2,2003,35
2,2004,36
2,2005,33
2,2006,33
2,2007,6
2,2008,38
2,2009,14
2,2010,38
2,2011,12
2,2012,37
2,2013,7
2,2014,9
2,2015,81
2,2016,62
2,2017,21
2,2018,37
2,2019,26
2,2020,138
3,1986,25
3,1987,37
3,1988,57
3,1989,56
3,1990,12
3,1991,11
3,1992,61
3,1993,102
3,1994,206
3,1995,175
3,1996,169
3,1997,98
3,1998,43
3,1999,18
3,2000,16
3,2001,29
3,2002,27
3,2003,36
3,2004,12
3,2005,31
3,2006,15
3,2007,6
3,2008,38
3,2009,29
3,2010,30
3,2011,33
3,2012,18
3,2013,22
3,2014,12
3,2015,27
3,2016,65
3,2017,31
3,2018,42
3,2019,33
3,2020,77
4,1986,49
4,1987,12
4,1988,45
4,1989,60
4,1990,12
4,1991,4
4,1992,4
4,1993,21
4,1994,11
4,1995,13
4,1996,8
4,1997,20
4,1998,23
4,1999,30
4,2000,6
4,2001,11
4,2002,5
4,2003,2
4,2004,5
4,2005,1
4,2006,3
4,2007,8
4,2008,6
4,2009,17
4,2010,19
4,2011,40
4,2012,18
4,2013,4
4,2014,25
4,2015,22
4,2016,101
4,2017,57
4,2018,27
4,2019,28
4,2020,38
5,1986,6
5,1987,7
5,1989,4
5,1991,1
5,1992,1
5,1993,2
5,1994,3
5,1995,4
5,1996,3
5,1997,5
5,1998,5
5,1999,22
5,2000,1
5,2001,1
5,2003,2
5,2007,1
5,2008,1
5,2009,3
5,2011,6
5,2012,5
5,2013,6
5,2014,5
5,2015,7
5,2016,16
5,2018,12
5,2019,20
5,2020,19
6,1987,1
6,1990,1
6,1991,2
6,1999,1
6,2000,2
6,2001,1
6,2004,1
6,2005,1
6,2010,1
6,2011,3
6,2012,1
6,2013,7
6,2014,10
6,2015,5
6,2017,1
6,2018,6
6,2019,15
6,2020,9
7,1994,1
7,1995,1
7,1998,1
7,2001,2
7,2006,1
7,2009,1
7,2011,1
7,2013,7
7,2014,9
7,2015,7
7,2018,5
7,2019,9
7,2020,7
8,2012,1
8,2013,1
8,2014,3
8,2015,3
8,2019,1
9,2015,1
10,2009,1
10,2014,1
12,2014,1
