year,name,lower16,middle,upper84,type
1986,e_rec,0.19509067579223582,0.21554827614164923,0.22955453511925855,elasticity
1986,e_s21,0.19509067579223596,0.2155482761416495,0.2295545351192584,elasticity
1986,e_s32,0.19509067579223582,0.21554827614164945,0.22955453511925866,elasticity
1986,e_s43,0.19509067579223585,0.2155482761416493,0.22955453511925855,elasticity
1986,e_s44,0.08520552607329379,0.13780689543340235,0.23303173554991002,elasticity
1986,lambda,0.7992797147573675,0.8855638722376518,0.9825087625285731,lambda
1986,s_rec,0.09500882825818525,0.13531463994942228,0.19394139321046683,sensitivity
1986,s_s21,0.1582913282902329,0.18913165000877752,0.2173913233155156,sensitivity
1986,s_s32,0.20997834250553254,0.253871021848025,0.3183534374464103,sensitivity
1986,s_s43,0.4212376057238227,0.518105830474633,0.6693114547345307,sensitivity
1986,s_s44,0.31390414455497045,0.35335517157505164,0.42477380166243267,sensitivity
1987,e_rec,0.19424765550428036,0.21553093056691564,0.23000501755254033,elasticity
1987,e_s21,0.19424765550428036,0.21553093056691552,0.23000501755254044,elasticity
1987,e_s32,0.19424765550428014,0.21553093056691552,0.2300050175525404,elasticity
1987,e_s43,0.19424765550428033,0.2155309305669155,0.23000501755253994,elasticity
1987,e_s44,0.08475344320695234,0.13787627773233774,0.2331679971917279,elasticity
1987,lambda,0.8051623302985391,0.8843809054814882,0.9801057564042941,lambda
1987,s_rec,0.09504004031315673,0.13573426038764083,0.18893082234929193,sensitivity
1987,s_s21,0.16045010574567461,0.18791778635677486,0.21935997997933185,sensitivity
1987,s_s32,0.2102645227954379,0.253915798126242,0.31857444712028204,sensitivity
1987,s_s43,0.4199625264993209,0.518920111288236,0.6713196372839345,sensitivity
1987,s_s44,0.3135650824052142,0.35340720829925315,0.42487599789379615,sensitivity
1988,e_rec,0.19906903660045422,0.21813984473382456,0.23116150624386128,elasticity
1988,e_s21,0.1990690366004547,0.21813984473382464,0.23116150624386145,elasticity
1988,e_s32,0.19906903660045452,0.21813984473382458,0.2311615062438614,elasticity
1988,e_s43,0.19906903660045427,0.2181398447338246,0.23116150624386106,elasticity
1988,e_s44,0.07808559854832707,0.12744062106470147,0.21318828793774605,elasticity
1988,lambda,0.8628823012580693,0.9384887702423967,1.0229557169928145,lambda
1988,s_rec,0.08035233184621017,0.10952278784233299,0.15617811237281867,sensitivity
1988,s_s21,0.17698472214176145,0.2025353061080447,0.23048413598630008,sensitivity
1988,s_s32,0.22923432369315971,0.2729064810371733,0.34211327172961503,sensitivity
1988,s_s43,0.4536973639314691,0.5533398455404128,0.7218554150872747,sensitivity
1988,s_s44,0.30856419891124515,0.34558046579852597,0.40989121595330974,sensitivity
1989,e_rec,0.2069381314382942,0.2216398381428073,0.2325996199737707,elasticity
1989,e_s21,0.20693813143829445,0.2216398381428073,0.2325996199737711,elasticity
1989,e_s32,0.2069381314382944,0.22163983814280752,0.23259961997377077,elasticity
1989,e_s43,0.20693813143829431,0.22163983814280752,0.23259961997377082,elasticity
1989,e_s44,0.07174063744556931,0.11344064742877036,0.17946001679071874,elasticity
1989,lambda,0.9396181440921062,1.0084497424669308,1.0888020437855417,lambda
1989,s_rec,0.06371032667181895,0.08625398125899808,0.11587349223710161,sensitivity
1989,s_s21,0.19871264284705104,0.22298030730164922,0.24617850346980547,sensitivity
1989,s_s32,0.2550774434005313,0.2994565723306802,0.36554053226660005,sensitivity
1989,s_s43,0.4947363230593977,0.6149649335406133,0.7999935998251583,sensitivity
1989,s_s44,0.30380547808417696,0.33508048557157777,0.3845950125930391,sensitivity
1990,e_rec,0.21135430892305349,0.22448057628996745,0.23468066649965003,elasticity
1990,e_s21,0.2113543089230535,0.22448057628996704,0.23468066649965005,elasticity
1990,e_s32,0.21135430892305387,0.22448057628996732,0.23468066649965016,elasticity
1990,e_s43,0.21135430892305357,0.2244805762899677,0.23468066649965014,elasticity
1990,e_s44,0.06463904933114216,0.10207769484013035,0.16131727123216816,elasticity
1990,lambda,1.0270624024821715,1.094775713070652,1.1947615758534098,lambda
1990,s_rec,0.04562616171961616,0.06420971141641518,0.09009376938786123,sensitivity
1990,s_s21,0.22006709747919273,0.2449801709123429,0.2750259171946519,sensitivity
1990,s_s32,0.2810389004005027,0.3346234475073565,0.4083362173467208,sensitivity
1990,s_s43,0.5514501159640414,0.6809817733166925,0.8926266945235,sensitivity
1990,s_s44,0.29847928699835663,0.32655827113009794,0.37098795342412616,sensitivity
1991,e_rec,0.21250283946872478,0.22567421768045529,0.2355115602427657,elasticity
1991,e_s21,0.21250283946872475,0.22567421768045515,0.23551156024276554,elasticity
1991,e_s32,0.21250283946872447,0.2256742176804551,0.23551156024276548,elasticity
1991,e_s43,0.2125028394687246,0.2256742176804551,0.23551156024276576,elasticity
1991,e_s44,0.060634342470253566,0.09730312927817945,0.15577391962252685,elasticity
1991,lambda,1.044726191546507,1.1383164506546928,1.247685960176105,lambda
1991,s_rec,0.040581440541956275,0.05679434305660592,0.08306177504071774,sensitivity
1991,s_s21,0.2253443401443419,0.25555773966349105,0.2892910685193843,sensitivity
1991,s_s32,0.28853802430856423,0.3468765888041958,0.4248036822961767,sensitivity
1991,s_s43,0.5640148588662129,0.7176526898685021,0.9431988131429215,sensitivity
1991,s_s44,0.2954757568526903,0.32297734695863456,0.3668304397168951,sensitivity
1992,e_rec,0.214477508314758,0.22706857988326407,0.23602292545426815,elasticity
1992,e_s21,0.21447750831475795,0.22706857988326384,0.23602292545426812,elasticity
1992,e_s32,0.21447750831475793,0.22706857988326395,0.23602292545426845,elasticity
1992,e_s43,0.21447750831475784,0.22706857988326395,0.23602292545426834,elasticity
1992,e_s44,0.0589549984169923,0.09172568046694396,0.14728911446098628,elasticity
1992,lambda,1.0748231511776476,1.1790921224072268,1.319942536837416,lambda
1992,s_rec,0.03333849685644088,0.050598943577983224,0.07578132113641714,sensitivity
1992,s_s21,0.23576628026720828,0.2654222828560705,0.3034953080271221,sensitivity
1992,s_s32,0.3052243167144688,0.35872406674171553,0.44948291974821336,sensitivity
1992,s_s43,0.5810356113253459,0.7489998763484649,0.9940117604131352,sensitivity
1992,s_s44,0.2942162488127443,0.3187942603502081,0.3604668358457399,sensitivity
1993,e_rec,0.213884725479016,0.22616715997157216,0.23527601087538597,elasticity
1993,e_s21,0.21388472547901616,0.22616715997157244,0.23527601087538583,elasticity
1993,e_s32,0.2138847254790162,0.22616715997157236,0.2352760108753859,elasticity
1993,e_s43,0.21388472547901607,0.2261671599715726,0.23527601087538583,elasticity
1993,e_s44,0.061058189704748356,0.0953313601137106,0.14981933287795873,elasticity
1993,lambda,1.0458521263677862,1.1388676748907134,1.2610454909932542,lambda
1993,s_rec,0.037706360628565624,0.05688799198492266,0.08255174078562344,sensitivity
1993,s_s21,0.23026413125086964,0.2561872452262397,0.2872933867001349,sensitivity
