farm,method,season,year,month,day,week,location,basin,net_nights,char,trout,filter
12,net,winter,1985,NA,20,NA,Ytri-Bolur,3,6,14,1,0
12,net,winter,1985,NA,21,NA,Ytri-Bolur,3,6,10,0,0
12,net,winter,1985,NA,22,NA,Ytri-Bolur,3,6,6,0,0
12,net,winter,1985,NA,26,NA,Ytri-Bolur,3,9,10,0,0
5,net,winter,1985,2,NA,NA,Sydrifl-Nesl,2,NA,4,36,0
7,net,winter,1985,2,NA,NA,Neslandavik,2,NA,30,4,0
17,net,winter,1985,2,NA,NA,NA,NA,NA,150,0,0
23,net,winter,1985,2,NA,NA,Sydri-Bolur,3,NA,13,11,0
29,net,winter,1985,2,NA,NA,NA,2,NA,43,0,0
29,net,winter,1985,2,NA,NA,NA,2,16,2,0,0
35,net,winter,1985,2,NA,NA,NA,2,5,34,4,0
11,net,winter,1985,2,1,5,Sydrifloi,2,10,13,1,0
30,net,winter,1985,2,1,5,NA,1,1,0,2,0
11,hook,winter,1985,2,1,5,NA,3,NA,5,0,0
12,net,winter,1985,2,2,5,Haeyjarall,3,2,1,0,0
28,net,winter,1985,2,2,5,Sydrifloi,2,2,0,1,0
11,hook,winter,1985,2,2,5,NA,3,NA,1,1,0
11,hook,winter,1985,2,2,5,NA,3,NA,3,0,0
11,net,winter,1985,2,3,5,Sydrifloi,2,10,7,4,0
12,net,winter,1985,2,3,5,Haeyjarall,3,2,2,0,0
8,net,winter,1985,2,4,5,Leira,2,4,4,0,0
28,net,winter,1985,2,4,5,Sydrifloi,2,6,1,1,0
8,net,winter,1985,2,5,6,Leira,2,4,3,0,0
11,net,winter,1985,2,5,6,Sydrifloi,2,10,6,2,0
30,net,winter,1985,2,5,6,NA,1,2,0,10,0
8,net,winter,1985,2,6,6,Leira,2,4,2,0,0
12,net,winter,1985,2,6,6,Haeyjarall,3,6,5,0,0
28,net,winter,1985,2,6,6,Sydrifloi,2,8,0,0,0
8,net,winter,1985,2,7,6,Leira,2,4,1,0,0
11,net,winter,1985,2,7,6,Sydrifloi,2,10,9,1,0
30,net,winter,1985,2,8,6,NA,1,3,0,10,0
31,net,winter,1985,2,8,6,Vogafloi,1,5,0,20,0
16,hook,winter,1985,2,8,6,NA,3,NA,1,0,0
8,net,winter,1985,2,9,6,Leira,2,4,1,0,0
28,net,winter,1985,2,9,6,Sydrifloi,2,8,1,0,0
3,hook,winter,1985,2,9,6,NA,3,NA,4,0,0
8,net,winter,1985,2,10,6,Leira,2,4,1,0,0
11,net,winter,1985,2,10,6,Sydrifloi,2,10,12,1,0
12,net,winter,1985,2,10,6,Haeyjarall,3,4,4,0,0
31,net,winter,1985,2,10,6,Framfloi,2,8,3,0,0
3,hook,winter,1985,2,10,6,NA,3,NA,9,0,0
12,net,winter,1985,2,11,6,Haeyjarall,3,2,1,0,0
21,net,winter,1985,2,11,6,Bolir,3,4,0,0,0
28,net,winter,1985,2,11,6,Sydrifloi,2,8,2,0,0
8,net,winter,1985,2,12,7,Leira,2,4,0,0,0
21,net,winter,1985,2,12,7,Bolir,3,4,0,0,0
