year,stage,count
1986,adult,55
1986,first,18
1986,second,19
1986,third,25
1987,adult,20
1987,first,58
1987,second,255
1987,third,37
1988,adult,45
1988,first,2
1988,second,12
1988,third,57
1989,adult,64
1989,second,22
1989,third,56
1990,adult,13
1990,first,10
1990,second,31
1990,third,12
1991,adult,7
1991,first,133
1991,second,45
1991,third,11
1992,adult,5
1992,first,12
1992,second,271
1992,third,61
1993,adult,23
1993,first,2
1993,second,44
1993,third,102
1994,adult,15
1994,first,45
1994,second,332
1994,third,206
1995,adult,18
1995,first,1
1995,second,507
1995,third,175
1996,adult,11
1996,first,17
1996,second,304
1996,third,169
1997,adult,25
1997,first,3
1997,second,89
1997,third,98
1998,adult,29
1998,first,1
1998,second,24
1998,third,43
1999,adult,53
1999,first,33
1999,second,83
1999,third,18
2000,adult,9
2000,first,2
2000,second,30
2000,third,16
2001,adult,15
2001,first,1
2001,second,23
2001,third,29
2002,adult,5
2002,first,4
2002,second,61
2002,third,27
2003,adult,4
2003,first,2
2003,second,35
2003,third,36
2004,adult,6
2004,first,5
2004,second,36
2004,third,12
2005,adult,2
2005,first,2
2005,second,33
2005,third,31
2006,adult,4
2006,second,33
2006,third,15
2007,adult,9
2007,second,6
2007,third,6
2008,adult,7
2008,first,1
2008,second,38
2008,third,38
2009,adult,22
2009,second,14
2009,third,29
2010,adult,20
2010,first,2
2010,second,38
2010,third,30
2011,adult,50
2011,first,1
2011,second,12
2011,third,33
2012,adult,25
2012,first,16
2012,second,37
2012,third,18
2013,adult,25
2013,first,5
2013,second,7
2013,third,22
2014,adult,54
2014,first,5
2014,second,9
2014,third,12
2015,adult,45
2015,first,4
2015,second,81
2015,third,27
2016,adult,117
2016,second,62
2016,third,65
2017,adult,58
2017,second,21
2017,third,31
1989,first,0
2006,first,0
2007,first,0
2009,first,0
2016,first,0
2017,first,0
