NUMER,VEID,TIMI,ÁR,MAN,DAG,VIKA,STADUR,FLOI,LAGNIR,BLEIKJA,URRIÐI,VAR00001,FILTER__,
12,1,1,1985,,20,,Ytri-Bolur,3,6,14,1,,0,
12,1,1,1985,,21,,Ytri-Bolur,3,6,10,0,,0,
12,1,1,1985,,22,,Ytri-Bolur,3,6,6,0,,0,
12,1,1,1985,,26,,Ytri-Bolur,3,9,10,0,,0,
5,1,1,1985,2,,,Sydrifl-Nesl,2,,4,36,,0,
7,1,1,1985,2,,,Neslandavik,2,,30,4,,0,
17,1,1,1985,2,,,,,,150,0,,0,
23,1,1,1985,2,,,Sydri-Bolur,3,,13,11,,0,
29,1,1,1985,2,,,,2,,43,0,,0,
29,1,1,1985,2,,,,2,16,2,0,,0,
35,1,1,1985,2,,,,2,5,34,4,,0,
11,1,1,1985,2,1,5,Sydrifloi,2,10,13,1,,0,
30,1,1,1985,2,1,5,,1,1,0,2,,0,
11,2,1,1985,2,1,5,,3,,5,0,,0,
12,1,1,1985,2,2,5,Haeyjarall,3,2,1,0,,0,
28,1,1,1985,2,2,5,Sydrifloi,2,2,0,1,,0,
11,2,1,1985,2,2,5,,3,,1,1,,0,
11,2,1,1985,2,2,5,,3,,3,0,,0,
11,1,1,1985,2,3,5,Sydrifloi,2,10,7,4,,0,
12,1,1,1985,2,3,5,Haeyjarall,3,2,2,0,,0,
8,1,1,1985,2,4,5,Leira,2,4,4,0,,0,
28,1,1,1985,2,4,5,Sydrifloi,2,6,1,1,,0,
8,1,1,1985,2,5,6,Leira,2,4,3,0,,0,
11,1,1,1985,2,5,6,Sydrifloi,2,10,6,2,,0,
30,1,1,1985,2,5,6,,1,2,0,10,,0,
8,1,1,1985,2,6,6,Leira,2,4,2,0,,0,
12,1,1,1985,2,6,6,Haeyjarall,3,6,5,0,,0,
28,1,1,1985,2,6,6,Sydrifloi,2,8,0,0,,0,
8,1,1,1985,2,7,6,Leira,2,4,1,0,,0,
11,1,1,1985,2,7,6,Sydrifloi,2,10,9,1,,0,
30,1,1,1985,2,8,6,,1,3,0,10,,0,
31,1,1,1985,2,8,6,Vogafloi,1,5,0,20,,0,
16,2,1,1985,2,8,6,,3,,1,0,,0,
8,1,1,1985,2,9,6,Leira,2,4,1,0,,0,
28,1,1,1985,2,9,6,Sydrifloi,2,8,1,0,,0,
3,2,1,1985,2,9,6,,3,,4,0,,0,
8,1,1,1985,2,10,6,Leira,2,4,1,0,,0,
11,1,1,1985,2,10,6,Sydrifloi,2,10,12,1,,0,
12,1,1,1985,2,10,6,Haeyjarall,3,4,4,0,,0,
31,1,1,1985,2,10,6,Framfloi,2,8,3,0,,0,
3,2,1,1985,2,10,6,,3,,9,0,,0,
12,1,1,1985,2,11,6,Haeyjarall,3,2,1,0,,0,
21,1,1,1985,2,11,6,Bolir,3,4,0,0,,0,
28,1,1,1985,2,11,6,Sydrifloi,2,8,2,0,,0,
8,1,1,1985,2,12,7,Leira,2,4,0,0,,0,
21,1,1,1985,2,12,7,Bolir,3,4,0,0,,0,
30,1,1,1985,2,12,7,,1,2,0,12,,0,
31,1,1,1985,2,12,7,Framfloi,2,8,4,0,,0,
11,1,1,1985,2,13,7,Sydrifloi,2,10,4,0,,0,
12,1,1,1985,2,13,7,Haeyjarall,3,4,2,0,,0,
30,1,1,1985,2,13,7,,1,3,0,15,,0,
16,2,1,1985,2,13,7,,3,,2,0,,0,
