NR,AR,TIMI,DAGS,ST,STOD,LENGD,TYNGD,KYN,KTR,ALD,ALDUR,FYLL,HOR,CHIP,CHIL,DAPH,LYM,EU,PIS,TRI,ANN,LOGLENGD,LOGTYNGD,PHOR,PCHIP,PCHIL,PDAPH,PLYM,PEU,PPIS,PTRI,PANN,SCHITSO,NET_MÖSK,NOSTOC,OGR,PNOSTOC,POGR,PHOT
601,1986,6,210686,1,1,36.7,594,2,2,4,4,0,0,0,0,0,0,0,0,0,0,1.56450,2.77379,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
602,1986,6,210686,1,1,36.5,598,2,3,4,4,0,0,0,0,0,0,0,0,0,0,1.56217,2.77670,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
603,1986,6,210686,1,1,36.3,622,1,2,4,4,0,0,0,0,0,0,0,0,0,0,1.55982,2.79379,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
604,1986,6,210686,1,1,39.1,686,1,2,4,4,0,0,0,0,0,0,0,0,0,0,1.59263,2.83632,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
605,1986,6,210686,1,1,41.1,782,1,2,5,5,0,0,0,0,0,0,0,0,0,0,1.61389,2.89321,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
606,1986,6,210686,1,1,37.2,558,2,3,4,4,0,0,0,0,0,0,0,0,0,0,1.57027,2.74663,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
607,1986,6,210686,1,1,38.4,622,1,2,4,4,0,0,0,0,0,0,0,0,0,0,1.58383,2.79379,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
608,1986,6,210686,2,2,41.1,808,1,2,4,4,0,0,0,0,0,0,0,0,0,0,1.61389,2.90741,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
609,1986,6,210686,2,2,37.2,581,2,2,4,4,0,0,0,0,0,0,0,0,0,0,1.57027,2.76418,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
610,1986,6,210686,2,2,16.1,43,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1.20585,1.63347,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
611,1986,6,210686,2,2,15.8,37,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1.19781,1.56820,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
612,1986,6,210686,2,2,33.0,400,1,2,4,4,0,0,0,0,0,0,0,0,0,0,1.51791,2.60206,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
613,1986,6,210686,2,2,21.5,106,2,3,3,3,0,0,0,0,0,0,0,0,0,0,1.33173,2.02531,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
614,1986,6,210686,2,2,17.8,56,2,1,3,3,0,0,0,0,0,0,0,0,0,0,1.25119,1.74819,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
616,1986,6,210686,2,2,32.3,286,1,2,4,4,0,0,0,0,0,0,0,0,0,0,1.50876,2.45637,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
617,1986,6,210686,1,1,37.9,578,1,2,4,4,0,0,0,0,0,0,0,0,0,0,1.57823,2.76193,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
618,1986,6,210686,1,1,21.0,74,1,1,3,3,0,0,0,0,0,0,0,0,0,0,1.32168,1.86923,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
619,1986,6,210686,1,1,18.6,63,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1.26991,1.79934,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
620,1986,6,220686,2,2,40.6,896,1,0,4,4,0,0,0,0,0,0,0,0,0,0,1.60867,2.95231,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
621,1986,6,220686,2,2,23.5,130,2,2,3,3,0,0,0,0,0,0,0,0,0,0,1.37157,2.11394,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
622,1986,6,220686,2,2,20.6,84,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1.31347,1.92428,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
623,1986,6,220686,2,2,19.5,74,2,1,2,2,0,0,0,0,0,0,0,0,0,0,1.29005,1.86923,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
624,1986,6,220686,2,2,22.0,102,2,1,2,2,0,0,0,0,0,0,0,0,0,0,1.34155,2.00860,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
625,1986,6,220686,2,2,27.8,242,1,1,3,3,0,0,0,0,0,0,0,0,0,0,1.44479,2.38382,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
626,1986,6,220686,2,2,22.2,106,1,1,3,3,0,0,0,0,0,0,0,0,0,0,1.34542,2.02531,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
627,1986,6,220686,2,2,19.7,70,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1.29441,1.84510,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
628,1986,6,220686,2,2,20.7,92,1,1,3,3,0,0,0,0,0,0,0,0,0,0,1.31554,1.96379,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
629,1986,6,220686,2,2,23.7,140,1,1,3,3,0,0,0,0,0,0,0,0,0,0,1.37518,2.14613,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
630,1986,6,220686,2,2,21.5,92,0,0,3,3,0,0,0,0,0,0,0,0,0,0,1.33173,1.96379,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
631,1986,6,220686,2,2,20.2,80,2,1,2,2,0,0,0,0,0,0,0,0,0,0,1.30510,1.90309,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
632,1986,6,220686,4,4,34.7,478,2,0,4,4,0,0,0,0,0,0,0,0,0,0,1.54060,2.67943,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
633,1986,6,220686,4,4,27.8,222,2,2,4,4,0,0,0,0,0,0,0,0,0,0,1.44479,2.34635,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
634,1986,6,220686,4,4,30.0,300,2,2,4,4,0,0,0,0,0,0,0,0,0,0,1.47724,2.47712,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
636,1986,6,220686,5,5,18.2,47,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1.26065,1.67210,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
637,1986,6,220686,5,5,18.0,39,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1.25594,1.59106,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
638,1986,6,230686,5,5,16.9,43,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1.22911,1.63347,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
639,1986,6,230686,5,5,22.8,126,2,2,3,3,0,0,0,0,0,0,0,0,0,0,1.35869,2.10037,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
640,1986,6,230686,5,5,41.3,934,2,3,5,5,0,0,0,0,0,0,0,0,0,0,1.61596,2.97035,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
641,1986,6,230686,5,5,37.5,634,1,2,4,4,0,0,0,0,0,0,0,0,0,0,1.57370,2.80209,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
642,1986,6,230686,5,5,42.6,999,1,3,3,3,0,0,0,0,0,0,0,0,0,0,1.62918,2.99957,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
643,1986,6,230686,5,5,19.9,70,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1.29871,1.84510,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
644,1986,6,230686,5,5,17.7,58,2,1,2,2,0,0,0,0,0,0,0,0,0,0,1.24879,1.76343,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
646,1986,6,230686,5,5,36.8,620,2,2,5,5,0,0,0,0,0,0,0,0,0,0,1.56566,2.79239,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
647,1986,6,230686,5,5,35.2,374,1,2,4,4,0,0,0,0,0,0,0,0,0,0,1.54670,2.57287,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
648,1986,6,230686,3,3,40.0,798,2,0,4,4,4,100,0,0,0,0,0,0,0,0,1.60233,2.90200,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
649,1986,6,250686,6,6,37.7,584,0,0,4,4,0,0,0,0,0,0,0,0,0,0,1.57597,2.76641,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
651,1986,6,250686,6,6,34.2,574,1,0,4,4,0,0,0,0,0,0,0,0,0,0,1.53442,2.75891,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
652,1986,6,250686,6,6,33.7,530,1,0,4,4,0,0,0,0,0,0,0,0,0,0,1.52814,2.72428,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
653,1986,6,250686,6,6,24.2,152,2,4,6,6,0,0,0,0,0,0,0,0,0,0,1.38407,2.18184,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
654,1986,6,250686,6,6,23.3,164,2,2,3,3,0,0,0,0,0,0,0,0,0,0,1.36793,2.21484,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
655,1986,6,250686,6,6,16.8,46,2,2,2,2,0,0,0,0,0,0,0,0,0,0,1.22405,1.66276,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
656,1986,6,250686,6,6,17.5,51,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1.24395,1.70757,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
657,1986,6,250686,6,6,40.0,738,2,3,4,4,0,0,0,0,0,0,0,0,0,0,1.60233,2.86806,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
658,1986,6,250686,6,6,36.9,668,1,9,4,4,0,0,0,0,0,0,0,0,0,0,1.56682,2.82478,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
659,1986,6,250686,6,6,19.5,62,2,1,3,3,0,0,0,0,0,0,0,0,0,0,1.29005,1.79239,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
660,1986,6,250686,6,6,20.0,72,2,1,3,3,0,0,0,0,0,0,0,0,0,0,1.30085,1.85733,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
664,1986,6,240686,8,12,41.6,822,1,2,5,5,0,0,0,0,0,0,0,0,0,0,1.61905,2.91487,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
665,1986,6,240686,8,12,38.5,564,1,2,4,4,0,0,0,0,0,0,0,0,0,0,1.58494,2.75128,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
666,1986,6,240686,8,12,27.4,198,1,2,3,3,0,0,0,0,0,0,0,0,0,0,1.43707,2.29667,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
667,1986,6,240686,8,12,28.0,256,1,2,4,4,0,0,0,0,0,0,0,0,0,0,1.44784,2.40824,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
668,1986,6,240686,8,12,18.5,48,1,1,3,3,0,0,0,0,0,0,0,0,0,0,1.26761,1.68124,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
669,1986,6,240686,8,12,20.0,92,2,2,3,3,0,0,0,0,0,0,0,0,0,0,1.30085,1.96379,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
670,1986,6,240686,8,12,37.2,648,1,2,5,5,0,0,0,0,0,0,0,0,0,0,1.57027,2.81158,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
671,1986,6,240686,8,12,37.5,664,2,2,4,4,0,0,0,0,0,0,0,0,0,0,1.57370,2.82217,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
672,1986,6,240686,8,12,36.9,546,2,2,5,5,0,0,0,0,0,0,0,0,0,0,1.56682,2.73719,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
673,1986,6,240686,8,12,35.6,482,1,2,6,6,0,0,0,0,0,0,0,0,0,0,1.55152,2.68305,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
674,1986,6,240686,8,12,28.3,250,2,2,4,4,0,0,0,0,0,0,0,0,0,0,1.45238,2.39794,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
675,1986,6,240686,8,12,29.5,258,2,2,4,4,0,0,0,0,0,0,0,0,0,0,1.47008,2.41162,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
676,1986,6,240686,8,12,43.6,880,2,2,6,6,0,0,0,0,0,0,0,0,0,0,1.63909,2.94448,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
677,1986,6,240686,8,12,34.2,416,2,2,5,5,0,0,0,0,0,0,0,0,0,0,1.53442,2.61909,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
678,1986,6,240686,8,12,31.0,336,2,2,4,4,0,0,0,0,0,0,0,0,0,0,1.49123,2.52634,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
679,1986,6,240686,8,12,37.8,664,1,2,5,5,0,0,0,0,0,0,0,0,0,0,1.57710,2.82217,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
680,1986,6,240686,8,12,30.1,254,2,2,4,4,0,0,0,0,0,0,0,0,0,0,1.47866,2.40483,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
681,1986,6,240686,8,12,35.2,454,1,2,5,5,0,0,0,0,0,0,0,0,0,0,1.54670,2.65706,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
682,1986,6,240686,8,12,39.3,636,1,2,6,6,0,0,0,0,0,0,0,0,0,0,1.59480,2.80346,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
683,1986,6,240686,8,12,33.4,426,1,2,5,5,0,0,0,0,0,0,0,0,0,0,1.52433,2.62941,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
684,1986,6,240686,8,12,27.5,206,2,2,4,4,0,0,0,0,0,0,0,0,0,0,1.43862,2.31387,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
685,1986,6,240686,8,12,27.1,218,2,1,4,4,0,0,0,0,0,0,0,0,0,0,1.43236,2.33846,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
686,1986,6,240686,8,12,33.0,358,2,1,5,5,0,0,0,0,0,0,0,0,0,0,1.51791,2.55388,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
687,1986,6,240686,8,12,22.4,98,1,1,3,3,0,0,0,0,0,0,0,0,0,0,1.35116,1.99123,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
688,1986,6,240686,8,12,27.5,214,1,2,5,5,0,0,0,0,0,0,0,0,0,0,1.43862,2.33041,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
689,1986,6,240686,8,12,34.9,448,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1.54305,2.65128,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
690,1986,6,240686,8,12,40.0,640,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1.60233,2.80618,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
691,1986,6,240686,7,11,35.2,540,2,2,4,4,0,0,0,0,0,0,0,0,0,0,1.54670,2.73239,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
692,1986,6,240686,7,11,15.4,44,1,1,3,3,0,0,0,0,0,0,0,0,0,0,1.18686,1.64345,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
693,1986,6,240686,7,11,20.6,84,1,1,3,3,0,0,0,0,0,0,0,0,0,0,1.31347,1.92428,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
694,1986,6,240686,7,11,38.6,608,1,2,3,3,0,0,0,0,0,0,0,0,0,0,1.58715,2.78390,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
695,1986,6,240686,7,11,25.4,166,1,2,0,3,0,0,0,0,0,0,0,0,0,0,1.40471,2.22011,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
696,1986,6,240686,7,11,32.1,324,2,2,4,4,0,0,0,0,0,0,0,0,0,0,1.50611,2.51055,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
697,1986,6,240686,7,11,33.1,328,2,2,4,4,0,0,0,0,0,0,0,0,0,0,1.51920,2.51587,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
698,1986,6,240686,7,11,31.9,362,1,2,5,5,0,0,0,0,0,0,0,0,0,0,1.50344,2.55871,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
699,1986,6,240686,7,11,37.8,568,1,2,4,4,0,0,0,0,0,0,0,0,0,0,1.57710,2.75435,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
700,1986,6,240686,7,11,36.1,442,2,2,5,5,0,0,0,0,0,0,0,0,0,0,1.55747,2.64542,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
701,1986,6,240686,7,11,24.7,160,0,0,4,4,0,0,0,0,0,0,0,0,0,0,1.39279,2.20412,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
702,1986,6,240686,7,11,32.8,338,2,0,4,4,0,0,0,0,0,0,0,0,0,0,1.51532,2.52892,00,00,00,00,00,00,00,00,00,0,0,0,0,00,00,00
