NR,DAGS,ST,LENGD,TYNGD,ALD,KYN,KTR,FYLL,HOR,CHIP,CHIL,DAPH,LYM,EU,PIS,TRI,SimL,Lep,col,Blóðsuga,Ógr,ANN,SCHITSO,NET_MÖSK,ATH,K,,
1,2018-09-03,3,18,60,1,2,2,4,,,,,,100,,,,,,,,,,18.5,,1.03,,0
2,2018-09-03,3,17.5,58,1,2,2,3,,,,,,100,,,,,,,,,,18.5,,1.08,,0
3,2018-09-03,3,17.5,56,1,2,2,5,,,,,,100,,,,,,,,,,18.5,,1.04,,0
4,2018-09-03,3,15.5,52,1,1,2,4,,,,,,100,,,,,,,,,,18.5,,1.4,,0
5,2018-09-03,3,16.1,44,1,1,2,2,,,,,,100,,,,,,,,,,18.5,,1.05,,0
6,2018-09-03,3,21,110,2,2,2,3,,,,,,100,,,,,,,,,,25,,1.19,,0
7,2018-09-03,3,26.5,200,2,2,2,0,,,,,,,,,,,,,,,,25,,1.07,,0
8,2018-09-03,3,17,48,3,1,2,4,,,,,,100,,,,,,,,,,16.5,,0.98,,0
9,2018-09-03,3,16,38,1,1,2,4,,,,,,100,,,,,,,,,,16.5,,0.93,,0
10,2018-09-03,3,15.8,40,1,1,2,3,,,,,,100,,,,,,,,,,16.5,,1.01,,0
11,2018-09-03,3,16.5,44,1,2,2,4,,,,100,,,,,,,,,,,,16.5,,0.98,,0
12,2018-09-03,3,15,30,1,2,2,5,,,,,,100,,,,,,,,,,16.5,,0.89,,0
13,2018-09-03,3,15.7,34,1,2,2,3,,,,,,100,,,,,,,,,,16.5,,0.88,,0
14,2018-09-03,3,16.3,48,1,1,2,4,,,,,,100,,,,,,,,,,16.5,,1.11,,0
15,2018-09-03,3,15,32,1,1,2,5,,,,,,100,,,,,,,,,,16.5,,0.95,,0
16,2018-09-03,3,16,36,1,2,2,2,,,,,,100,,,,,,,,,,16.5,,0.88,,0
17,2018-09-03,3,14.8,36,1,2,2,5,,,,,,100,,,,,,,,,,16.5,,1.11,,0
18,2018-09-03,3,25,212,2,2,2,2,,,,,,100,,,,,,,,,,35,,1.36,,0
19,2018-09-03,3,25.5,194,2,1,2,4,,,,,,100,,,,,,,,,,35,,1.17,,0
20,2018-09-03,3,25.5,176,2,1,2,3,,,,,,100,,,,,,,,,,35,,1.06,,0
21,2018-09-03,3,49,1468,6,1,4,3,,,,,,100,,,,,,,,,,35,,1.25,,0
22,2018-09-03,3,49.2,1784,6,1,4,5,100,,,,,,,,,,,,,,,35,,1.5,,0
23,2018-09-03,3,40.2,868,4,2,5,4,,,,,,100,,,,,,,,,,40,,1.34,,0
24,2018-09-03,3,18.2,60,1,1,2,2,,,,,,100,,,,,,,,,,21.5,,1,,0
25,2018-09-03,3,43,1148,5,1,4,3,,,,,100,,,,,,,,,,,21.5,,1.44,,0
26,2018-09-03,3,20.5,94,2,2,2,3,,,,,,100,,,,,,,,,,35,,1.09,,0
27,2018-09-03,3,29,214,2,2,2,2,,,,,,100,,,,,,,,,,35,,0.88,,0
28,2018-09-03,3,45.8,1180,4,2,5,4,,,,,,100,,,,,,,,,,35,,1.23,,0
29,2018-09-03,3,49,1576,6,1,4,0,,,,,,,,,,,,,,,,35,,1.34,,0
30,2018-09-03,3,45.5,1254,5,1,4,1,,,,,,100,,,,,,,,,,50,,1.33,,0
