var,lo,mi,hi,n_eff,Rhat
lr0,0.9188588775880814,1.4338125924052858,2.067790385379726,1226.4652815101842,1.0001466528149234
ls0[1],-0.46055258164646046,0.42243554349300005,1.3164185258987668,2075.452376246255,1.0013719528785987
ls0[2],-0.3918911671675661,0.40886594742207055,1.2335126078457277,1897.0633081926085,1.0007376891494868
ls0[3],-0.5155298753324201,0.22900823431207626,1.1134201358825506,2086.229237466522,0.999641867324066
ls0[4],-1.6079348244290852,-1.47784631021216,-1.3482499524807454,2975.7685658221662,0.9996107916582954
x0[1],0.41706356729287636,0.6904357768502811,1.3940529188164064,1030.0932672953118,1.000740955097814
x0[2],0.1294348576395391,0.18983628347346088,0.32134978780915646,1040.3164052148406,1.0013524520572241
x0[3],0.03320035658319645,0.04717055175742134,0.07588756559096069,829.9642105498996,1.0027462301310568
x0[4],0.07859838395985387,0.11655849948763336,0.18276236002481167,1202.2961195342634,1.0032451668097124
p[1],0.021637675762545987,0.0437009931875087,0.071840456387078,1018.3625564367521,1.0004063142043278
p[2],0.26590182087678416,0.4491921583881261,0.6567582395263071,1058.078664729008,1.0016277323652996
p[3],0.30423381002455285,0.4841545035375142,0.6706708653231568,1017.6004178333084,1.0009902716211745
p[4],0.27331065738351024,0.431126080715985,0.6405738299211347,1348.8475001529168,1.0011157015368737
lr[1],0.9188588775880814,1.4338125924052858,2.067790385379726,1226.4652815101842,1.0001466528149234
r[1],2.506428819167487,4.1946613538681214,7.90733223152706,1311.098001996476,1.000697787394882
"ls[1,1]",-0.46055258164646046,0.42243554349300005,1.3164185258987668,2075.452376246255,1.0013719528785987
"ls[2,1]",-0.3918911671675661,0.40886594742207055,1.2335126078457277,1897.0633081926085,1.0007376891494868
"ls[3,1]",-0.5155298753324201,0.22900823431207626,1.1134201358825506,2086.229237466522,0.999641867324066
"ls[4,1]",-1.6079348244290852,-1.47784631021216,-1.3482499524807454,2975.7685658221662,0.9996107916582954
"s[1,1]",0.38685476147119,0.6040659064721421,0.7885852251787306,1910.1492061751305,1.0019296913808444
"s[2,1]",0.40326212634372494,0.6008159231060142,0.7744327165661767,1833.0659414223403,1.0010170840531598
"s[3,1]",0.3738981017262196,0.5570031486270073,0.7527661574615079,2017.9796552099783,0.9996118262317844
"s[4,1]",0.16687553349900888,0.18575294184585056,0.20615663092005648,3022.599857414282,0.9996254822437959
"x[1,1]",0.41706356729287636,0.6904357768502811,1.3940529188164064,1030.0932672953118,1.000740955097814
"x[1,2]",0.3018807131494106,0.5030939705987316,1.0061201051697433,1020.1627866707253,1.0009741554413925
"x[1,3]",0.12182074755068438,0.20433564203165339,0.40112771718014595,1021.4415796901633,1.0009238768984254
"x[1,4]",0.1741463681893655,0.2857652518276145,0.5733965726396522,1024.9626317118857,1.0008677699661732
"x[1,5]",0.3367104994313353,0.557858933435037,1.118482422908123,1027.1552925280264,1.0007728062615389
"x[1,6]",0.2823527754762914,0.4706290876582667,0.9382683180983209,1019.8449561452112,1.000930759967134
"x[1,7]",0.1426939412725054,0.23626005191855487,0.4710726277089411,1019.4879283208386,1.0009028543567107
"x[1,8]",0.15318644327918077,0.252681668723144,0.5048379479233172,1022.0855019244952,1.000885612211996
"x[1,9]",0.2737824019561766,0.45478309455305477,0.905069536620497,1025.2131407736904,1.0008025069457063
"x[1,10]",0.25632197375397836,0.42762947586099015,0.8550710739562204,1019.7393364651458,1.0009103109948287
"x[1,11]",0.15219438715024897,0.25113417526904436,0.5061132355518763,1019.8052101497191,1.0008882424943237
"x[1,12]",0.13985958737530518,0.2318896314668787,0.462423801429235,1020.0611866742569,1.0008931627847701
"x[1,13]",0.22575965688900135,0.3746479577203658,0.7447978551666046,1023.8314217493933,1.0008290708764904
"x[1,14]",0.22904191054080758,0.3818853463590863,0.7586838352650658,1019.5935873224316,1.0009026286267098
"x[1,15]",0.15369705466126507,0.25407502147332156,0.5109596371094729,1019.9227144469988,1.000881458873017
"x[1,16]",0.1307162835193514,0.21659136741187973,0.43307058403341514,1019.1093693705484,1.000893912585129
"x[1,17]",0.1889075062805727,0.3129788759998119,0.62345690096041,1022.6468410977878,1.000851832655006
"x[1,18]",0.20224612546110177,0.3361150322956254,0.6680773467038343,1019.4519046693522,1.0009021364282407
"x[1,19]",0.1495803696313292,0.247893654317411,0.49720689340328483,1019.6710305632182,1.0008805948031492
"x[1,20]",0.12282231764084499,0.20412141649802246,0.4098751593019619,1018.9224757188074,1.0008918106759337
"x[1,21]",0.16016119774344814,0.2657323860911369,0.5329234951123989,1021.5006461686119,1.000870448496461
"x[1,22]",0.1776890035929901,0.29429789390046524,0.5863911603167935,1019.3435735363163,1.0009055785266865
"x[1,23]",0.14188729878660375,0.2355479415014465,0.472195554537135,1019.2376924216683,1.0008837321515456
"x[1,24]",0.11595047992545374,0.19256051242162556,0.387785032982489,1019.0578509468862,1.0008897333218092
"x[1,25]",0.13861457592455587,0.22949775391831184,0.45921472630001536,1020.4282973398949,1.0008849284773245
"x[1,26]",0.1553113305932887,0.2568931286723881,0.5146408606705786,1019.2553672459044,1.0009109730115093
"x[1,27]",0.13158366680045877,0.21919152613738133,0.4384628113705328,1018.8021040060261,1.0008893834325643
"x[1,28]",0.10891526294318238,0.1808794969710713,0.3648846345985639,1019.2178976045213,1.00088916085001
"x[1,29]",0.12163659803366722,0.20071414043169672,0.4031415128961538,1019.5496138977172,1.0008956578181507
"x[1,30]",0.13576024732949557,0.22437250856175656,0.4498760379992841,1019.1630654439248,1.0009170884701564
"x[1,31]",0.12088221756182271,0.20110231615054358,0.4034637175920443,1018.4733575339795,1.0008964677869585
"x[1,32]",0.10170901490186542,0.16942390042681055,0.3416401164335566,1019.2894076317721,1.0008905404416681
"x[1,33]",0.10742815898629768,0.1780574157296082,0.35691513890917687,1018.9585130118536,1.0009033348700542
"x[1,34]",0.1188599715842118,0.19624616659384303,0.3951572630069482,1019.0598629851478,1.0009231644361611
"x[1,35]",0.10993541200709497,0.18295180735977862,0.36766294586306975,1018.2974527610133,1.0009042227480724
"x[2,1]",0.1294348576395391,0.18983628347346088,0.32134978780915646,1040.3164052148406,1.0013524520572241
"x[2,2]",0.26369084320603775,0.3839461707124933,0.6534659216253238,1039.1802807797915,1.0014010132285096
"x[2,3]",0.19038375185559722,0.27821326367004234,0.4749670536627776,1027.1373842531302,1.001353462667332
"x[2,4]",0.07697319255414323,0.11204075867461458,0.19204251185342175,1036.9029362966494,1.001415150475199
"x[2,5]",0.10888511460641662,0.15961442422368957,0.2684286865242593,1037.519677350335,1.0013428369503918
"x[2,6]",0.21256942910505297,0.3092621964395237,0.5273010248608987,1036.5972305215926,1.0013606991016197
"x[2,7]",0.178748467381249,0.2606560641717908,0.4416663635247292,1027.427898473636,1.001366163059624
"x[2,8]",0.08944848604056878,0.130288131621824,0.22105077986441057,1031.9352136965172,1.0014516113358185
"x[2,9]",0.09609120423117992,0.1405329252759669,0.23634860952288067,1034.5956842065445,1.0013564996395794
"x[2,10]",0.1730309611686275,0.25169020569164513,0.427091918649336,1035.3325459498744,1.0013268472338597
"x[2,11]",0.1618995050780204,0.23670629795817674,0.4012468894211644,1028.222402724143,1.0013611523723114
"x[2,12]",0.0951723783863133,0.13881139946407375,0.23589762949062876,1031.321482985327,1.0014571409308155
"x[2,13]",0.08774609210911058,0.128504162474598,0.21625674330092942,1032.3786346288684,1.0013800862057738
"x[2,14]",0.14210034365007765,0.20759277502029477,0.3515281417587536,1034.8008722434122,1.0013026550735442
"x[2,15]",0.14421899218342477,0.21094139044682036,0.358149705140649,1028.8497355117313,1.0013475007637365
"x[2,16]",0.09609848828891321,0.14018669885489793,0.2382337415673023,1031.1501045083874,1.0014493498568235
"x[2,17]",0.08181604154302403,0.11939937619229521,0.20196221335513936,1031.36780183979,1.0014021120345542
"x[2,18]",0.11876730170572322,0.17369901717326627,0.29464201523482375,1034.4351257056105,1.0012894810091597
"x[2,19]",0.12728819456665053,0.18615204417775677,0.31512643735698115,1029.5670919826127,1.0013305728096162
"x[2,20]",0.09360545105010405,0.13659015872635136,0.23190436042370854,1030.902717110963,1.0014345746905098
"x[2,21]",0.07712448823330284,0.1126175863860975,0.19051045359302748,1031.3079462607789,1.0014169516917182
"x[2,22]",0.10115509680885311,0.14773663657990324,0.2503107584218397,1033.973992306375,1.0012865563555342
"x[2,23]",0.11164341812671567,0.16325074435763487,0.2757505320625949,1030.3661518600964,1.001313805395541
"x[2,24]",0.08883731726627622,0.12978374813538024,0.2207304559373325,1030.677204814112,1.0014160019499714
"x[2,25]",0.07275509867506615,0.10608972291961097,0.17992892444991126,1031.6989334420566,1.0014234723974904
"x[2,26]",0.08746969831736509,0.1276690015379679,0.21597024170622464,1033.449614817346,1.0012914266363262
"x[2,27]",0.09750888947556391,0.14261949277687955,0.24154697608517223,1031.1899986744381,1.001299352981391
"x[2,28]",0.08269436842353664,0.12096780391649278,0.2056306993770353,1030.622175888126,1.0013956731254299
"x[2,29]",0.06834439134349943,0.10005611602782316,0.1688425429952497,1032.1866203594277,1.001422661113324
"x[2,30]",0.07648006307039866,0.11151917766935049,0.18913430582702548,1033.0346617910602,1.0013008389277078
"x[2,31]",0.08529354852114082,0.12482921099759062,0.21141866628734246,1031.975702036552,1.0012883588652244
"x[2,32]",0.07603279772222457,0.1113432325489346,0.1893212284508848,1030.8220013503224,1.0013750674387876
"x[2,33]",0.06379901154104223,0.09381645925102,0.15804401384360195,1032.634674197856,1.0014161251388816
"x[2,34]",0.06746246834070282,0.09870535494668109,0.1675825082940289,1032.8845759895532,1.001311647826364
"x[2,35]",0.07470409815576907,0.10942210343218739,0.18558844586783654,1032.6932039073222,1.001281138673369
"x[3,1]",0.03320035658319645,0.04717055175742134,0.07588756559096069,829.9642105498996,1.0027462301310568
"x[3,2]",0.07646966347775652,0.10668559081796165,0.16916945902423366,781.8793559045802,1.0028414564073433
"x[3,3]",0.1556465953248755,0.2170907749362379,0.34456916031199136,777.7415704131176,1.0028474481160752
"x[3,4]",0.112835133336946,0.15684185806158324,0.2489882174081014,774.4843571465675,1.002890998004449
"x[3,5]",0.045595481404904756,0.0635324505203437,0.10106490999146749,783.4795998002123,1.0029037033467594
"x[3,6]",0.06431864856385963,0.08974571098971708,0.14250754438787996,780.4322778671824,1.002839988039616
"x[3,7]",0.12554354112611024,0.17426250433687818,0.27763406027378945,778.0497351666692,1.002826334458966
"x[3,8]",0.10556059274374786,0.14678057049919363,0.23250596475773774,773.4504359015765,1.0028774160053782
"x[3,9]",0.05281732803584662,0.07379359596907821,0.1169086255182268,775.0530490238024,1.0029145416787646
"x[3,10]",0.05685904508791211,0.07920121510957587,0.12578738103112952,778.2103801265632,1.002850776889803
"x[3,11]",0.10216178498624308,0.14180196110374255,0.22507256871267234,778.8093790257691,1.0028055329182237
"x[3,12]",0.09594502273780978,0.13364653947894933,0.21153503614365873,773.8255217922418,1.002854351823817
"x[3,13]",0.056339828648883046,0.07879311822188435,0.1249588862654101,773.348404159916,1.0028960824084026
"x[3,14]",0.05197803845630065,0.07240789598168051,0.11495075766929473,776.1584291632325,1.0028614235741142
"x[3,15]",0.08403705738278708,0.11699784734671621,0.18530900954293594,779.8732033670565,1.0027886948717557
"x[3,16]",0.08566533665227438,0.11906208285680545,0.1883354873509545,774.8121375048507,1.002829155604075
"x[3,17]",0.056968639178088726,0.07959265051391297,0.12604670418462374,773.412135537547,1.002871125015654
