name,stage,time,middle,lower16,upper84
log_rho,NA,NA,-0.34285453488427176,-0.5563131847522784,-0.12473693971618474
logit_phi,2,NA,0.9662547682635263,0.4242794379111077,1.6355055769039963
logit_phi,3,NA,-0.6426955923904216,-1.1468202378491335,-0.10885880042450945
logit_phi,4,NA,-0.43704461065907874,-1.0428410363145546,0.25824465645531497
sig_obs,NA,NA,0.9299718829791392,0.8648886188923873,1.001997332406994
N_init,NA,NA,98.08610111779939,63.664319739940225,146.85081398991716
N_init,NA,NA,32.1172153695452,19.10964183679049,52.3000022917957
N_init,NA,NA,21.23964767400046,11.941228731411806,36.63850846307326
N_init,NA,NA,27.204318918572824,18.663730011002368,38.59387921401096
N,1,1,98.08610111779939,63.664319739940225,146.85081398991716
N,1,2,58.252019968788055,40.264482472543826,84.49973039670871
N,1,3,41.04918607166217,30.138321923910834,55.70257046833732
N,1,4,35.90896199872838,27.134914410138208,47.66946825275508
N,1,5,67.51549918713152,50.72776694385247,90.21602788025058
N,1,6,60.11314940132229,48.439550151295414,75.7076566067371
N,1,7,46.282971281034506,37.044630891508675,57.31440954959196
N,1,8,38.64191421102667,30.999882104250577,48.11983992089108
N,1,9,53.2414091267467,43.396146419462575,66.45678963902138
N,1,10,53.82516163304818,44.94965763231299,65.57038256364845
N,1,11,46.18748174263878,38.70288493686197,54.855978327085595
N,1,12,39.44554197249512,32.423902091195956,47.348161216176464
N,1,13,45.638181903463845,39.036699914686956,54.29651291445446
N,1,14,47.54450796304872,40.527204072378275,56.62275605639821
N,1,15,43.54706474560629,37.34152478560876,50.84913846306865
N,1,16,38.60311028141278,32.269917058262315,45.46581408383592
N,1,17,40.91234930703497,35.35853733058786,47.88226086152694
N,1,18,42.46052580480959,36.35989512082391,49.98885660688489
N,1,19,40.28015660815846,34.54340676997816,46.97705575307772
N,1,20,36.84842613528423,30.851908599505954,43.37021444245504
N,1,21,37.26901696802466,31.852398684000953,43.75643791122168
N,1,22,38.17714713921754,32.44537928289209,45.26809725786751
N,1,23,37.01502942840372,31.25457681664857,43.785080308697395
N,1,24,34.46492672264806,28.686943607728278,41.13388309716802
N,1,25,34.146261980538256,28.625378878244454,41.02488576740492
N,1,26,34.70912948167539,28.82652938787622,41.878068765628825
N,1,27,33.88897028294803,27.933557081117183,40.92984397750384
