year,stage,count,sim
1986,first,63.89816689273825,1
1987,first,110.82926139726393,1
1988,first,50.69456580257807,1
1989,first,54.04022638657339,1
1990,first,115.13800849574869,1
1991,first,83.7263486057383,1
1992,first,129.66504662450697,1
1993,first,121.34232698560602,1
1994,first,105.30534043911392,1
1995,first,97.0539065486242,1
1996,first,150.93379217705694,1
1997,first,308.7423437170255,1
1998,first,321.74050148011753,1
1999,first,149.04179229008778,1
2000,first,250.65731935668666,1
2001,first,1086.4897939115833,1
2002,first,143.44238076493744,1
2003,first,517.1646506995289,1
2004,first,531.3477295510422,1
2005,first,369.20245412356866,1
2006,first,166.59454850247997,1
2007,first,1747.5167874804217,1
2008,first,455.0971000350529,1
2009,first,951.1546137241148,1
2010,first,253.4126179717506,1
2011,first,223.59424261757425,1
2012,first,948.9943305768836,1
2013,first,644.5224907748362,1
2014,first,471.01329481469656,1
2015,first,1161.3891614235918,1
2016,first,478.49745076161435,1
2017,first,1607.5098861262047,1
1986,second,40.31565165356344,1
1987,second,46.96978685860786,1
1988,second,117.7919114435825,1
1989,second,84.52964977596992,1
1990,second,114.82879159572227,1
1991,second,37.754213224502635,1
1992,second,241.34921872790102,1
1993,second,154.0293778144296,1
1994,second,201.53252225958195,1
1995,second,183.8208338300874,1
1996,second,256.6364225564398,1
1997,second,333.152537948206,1
1998,second,463.5005236379795,1
1999,second,578.6867980025082,1
2000,second,529.6954882608021,1
2001,second,130.66735389126586,1
2002,second,821.8254759176848,1
2003,second,214.65000018700817,1
2004,second,187.19230755676708,1
2005,second,61.60811632648121,1
2006,second,621.6700814079115,1
2007,second,551.6661109270582,1
2008,second,331.0957035446849,1
2009,second,130.56111610263753,1
2010,second,341.2365965608941,1
2011,second,297.9618986788707,1
2012,second,528.142754995787,1
2013,second,1634.8856907370641,1
2014,second,976.3018353181037,1
2015,second,408.3177740704302,1
2016,second,2285.623622401718,1
2017,second,1886.8222964314753,1
1986,third,37.13197751775124,1
1987,third,22.15292212761056,1
1988,third,49.94470234327973,1
1989,third,153.38593877473866,1
1990,third,126.66596391730376,1
1991,third,255.29667671760092,1
1992,third,77.30394315135804,1
1993,third,72.86551631758833,1
1994,third,36.44182723742343,1
1995,third,128.0728641118134,1
1996,third,281.16062166546027,1
1997,third,442.6858708739026,1
1998,third,118.60119247261134,1
1999,third,823.8298047539865,1
2000,third,83.51381557603214,1
2001,third,192.28642015422292,1
2002,third,96.27661096097522,1
2003,third,556.9142111132403,1
2004,third,111.09524238342509,1
2005,third,226.89885312920842,1
2006,third,274.6619801417493,1
2007,third,624.0504738287665,1
2008,third,522.2957095365734,1
2009,third,473.9948357514632,1
2010,third,467.79636134122495,1
2011,third,290.3735371686482,1
2012,third,1597.7566265782773,1
2013,third,1730.4302152369282,1
2014,third,1335.4283865331604,1
2015,third,479.3642171563517,1
2016,third,831.6104912165038,1
2017,third,692.7594018691547,1
1986,adult,42.69592020460148,1
1987,adult,33.06814089556867,1
1988,adult,32.599400027871816,1
1989,adult,10.706506273628168,1
1990,adult,27.800858942547904,1
1991,adult,29.166629400194324,1
1992,adult,68.1525340751423,1
1993,adult,73.41412289696,1
1994,adult,34.358038885718976,1
1995,adult,62.300745033053424,1
1996,adult,37.60319362205994,1
1997,adult,91.40437108857351,1
1998,adult,10.901774006764642,1
1999,adult,163.50503729798845,1
2000,adult,259.52493731047116,1
2001,adult,182.50099210312305,1
