year,stage,count,sim
1986,first,63.8985443446899,1
1987,first,32.35077749326447,1
1988,first,12.884684074627959,1
1989,first,19.635501533833292,1
1990,first,95.56719316968342,1
1991,first,74.68164305982518,1
1992,first,96.919848205905,1
1993,first,127.3538241038506,1
1994,first,171.26330316870283,1
1995,first,91.70181690113584,1
1996,first,56.661629134830115,1
1997,first,49.00231614378982,1
1998,first,66.78406612186393,1
1999,first,21.44518290102962,1
2000,first,33.49142589706837,1
2001,first,82.78154869515562,1
2002,first,11.232008035815063,1
2003,first,28.46744601520112,1
2004,first,21.96451038180781,1
2005,first,13.6993942313838,1
2006,first,8.618546123757065,1
2007,first,73.99657703780154,1
2008,first,20.75165244876387,1
2009,first,30.353148739310345,1
2010,first,8.751718344054828,1
2011,first,4.641345082276107,1
2012,first,26.37889194548494,1
2013,first,31.522161151611563,1
2014,first,18.021397137944497,1
2015,first,28.729163284894984,1
2016,first,11.932243896854468,1
2017,first,39.6552879394695,1
1986,second,40.31514187044939,1
1987,second,46.97059279637116,1
1988,second,34.38308062380995,1
1989,second,21.483909739449622,1
1990,second,41.72186057252747,1
1991,second,31.338142002961202,1
1992,second,215.26865735456178,1
1993,second,115.13056400315898,1
1994,second,211.51284987741835,1
1995,second,298.9508597976321,1
1996,second,242.4754502251795,1
1997,second,125.06423458879516,1
1998,second,73.56380591474284,1
1999,second,120.11614293912989,1
2000,second,76.21278495710978,1
2001,second,17.45945511200964,1
2002,second,62.61695264044209,1
2003,second,16.807550108073688,1
2004,second,10.304426007634975,1
2005,second,2.5469172501004973,1
2006,second,23.06685995966274,1
2007,second,28.53845912383346,1
2008,second,14.02071720161747,1
2009,second,5.953636223205156,1
2010,second,10.889915440609368,1
2011,second,10.290186801474885,1
2012,second,10.96278566401255,1
2013,second,45.44349116007878,1
2014,second,47.74802594649153,1
2015,second,15.62269105695363,1
2016,second,56.53783531244678,1
2017,second,47.04914234744802,1
1986,third,37.131306752757034,1
1987,third,18.433448461972848,1
1988,third,44.02418438613862,1
1989,third,40.70061585753113,1
1990,third,29.174101915069933,1
1991,third,85.01012696529239,1
1992,third,60.778135107709,1
1993,third,62.208269497412225,1
1994,third,26.4989334943296,1
1995,third,129.7309864448272,1
1996,third,439.69472847661297,1
1997,third,397.57003926838803,1
1998,third,42.48315517512707,1
1999,third,124.74982441619744,1
2000,third,16.597863986820723,1
2001,third,26.783228798316504,1
2002,third,12.600891435256283,1
2003,third,42.09435192946816,1
2004,third,8.853262998082219,1
2005,third,12.893494083933964,1
2006,third,11.86780912849114,1
2007,third,24.58510326949269,1
2008,third,28.9266252694849,1
2009,third,21.59611488938059,1
2010,third,23.09002020837359,1
2011,third,10.047520439472017,1
2012,third,59.947176385960454,1
2013,third,39.038785761538655,1
2014,third,40.39092606719035,1
2015,third,25.521543990834967,1
2016,third,34.60592834656775,1
2017,third,18.625257201336915,1
1986,adult,42.695693784233335,1
1987,adult,31.452430630894245,1
1988,adult,30.57739191640342,1
1989,adult,11.447170747987803,1
1990,adult,13.98715117251904,1
1991,adult,8.69283545620807,1
1992,adult,17.38812318170092,1
1993,adult,29.5583025268236,1
1994,adult,13.040851139258644,1
1995,adult,17.396828567461935,1
1996,adult,8.981603606625304,1
1997,adult,31.407130937977357,1
1998,adult,3.3829454383602564,1
1999,adult,34.6507963168431,1
2000,adult,29.502806987554706,1
2001,adult,13.736302333712981,1
2002,adult,6.148805108561937,1
2003,adult,3.7633155958881135,1
2004,adult,4.304171496949364,1
2005,adult,9.715423412566667,1
2006,adult,7.798378951754484,1
2007,adult,6.988720763830999,1
2008,adult,29.918543297878106,1
2009,adult,108.58163395393588,1
2010,adult,56.17899881964498,1
2011,adult,41.75253430815166,1
2012,adult,22.06705784927475,1
2013,adult,41.30738342242788,1
2014,adult,51.76866920756129,1
2015,adult,52.82623338161161,1
2016,adult,113.52269707354489,1
2017,adult,32.916997775632765,1
1986,first,80.25190167366276,2
1987,first,14.473892684981937,2
1988,first,23.492887434113708,2
1989,first,11.261200993885822,2
1990,first,126.6437436934115,2
1991,first,74.34269125495618,2
1992,first,154.25742950564788,2
1993,first,37.77541556670706,2
1994,first,173.29381617092614,2
1995,first,144.89330041282557,2
1996,first,57.70556663566376,2
1997,first,49.409756807153,2
1998,first,79.79837170889971,2
1999,first,27.049600025074437,2
2000,first,41.78368475645317,2
2001,first,26.357728102233146,2
2002,first,38.47996476488683,2
2003,first,18.093670307809603,2
2004,first,18.743500464786337,2
2005,first,4.516557910303477,2
2006,first,71.87990750070828,2
2007,first,15.624304329013588,2
2008,first,26.042971029163425,2
2009,first,13.462040888371245,2
2010,first,28.998949945188063,2
2011,first,8.7509724519938,2
2012,first,82.826254885581207,2
2013,first,65.93300784098972,2
2014,first,52.03445963147623,2
2015,first,24.008002203359354,2
2016,first,70.14159915735083,2
2017,first,19.037355071582283,2
1986,second,25.936029215171995,2
1987,second,54.29259991771096,2
1988,second,47.711567445220695,2
1989,second,91.57421464174577,2
1990,second,58.959731229187355,2
1991,second,64.92962515263393,2
1992,second,133.6427082597977,2
1993,second,69.23165512564101,2
1994,second,127.2684407645975,2
1995,second,44.821951429184374,2
1996,second,300.54005457013017,2
1997,second,96.5727908159788,2
1998,second,30.37992605894404,2
1999,second,67.49301596091682,2
2000,second,32.26095710217243,2
2001,second,66.8854020639663,2
2002,second,49.15896006903638,2
2003,second,5.99487295129674,2
2004,second,31.04056726631834,2
2005,second,10.279274759015255,2
2006,second,14.327910781968658,2
2007,second,77.38584213893485,2
2008,second,23.827202352709687,2
2009,second,18.24780979700138,2
2010,second,14.234826421839372,2
2011,second,43.01958407937557,2
2012,second,15.78529775595842,2
2013,second,10.537191909824536,2
2014,second,26.568277784662936,2
2015,second,49.735348891522015,2
2016,second,13.226420909510248,2
2017,second,28.853287019226393,2
1986,third,12.88693236937873,2
1987,third,44.98512280914364,2
1988,third,28.54120126660045,2
1989,third,13.091895883716218,2
1990,third,30.034158951958432,2
1991,third,8.376591312275744,2
1992,third,135.45643328839944,2
1993,third,93.9377997017284,2
1994,third,76.9906259182841,2
1995,third,109.77662139143004,2
1996,third,152.02334991987533,2
1997,third,186.8780155229988,2
1998,third,18.6459041020323,2
1999,third,11.427730655124225,2
2000,third,90.98413450782958,2
2001,third,56.32254804566664,2
2002,third,41.16817396422472,2
2003,third,24.68763212013005,2
2004,third,29.087541492126064,2
2005,third,21.032522488716555,2
2006,third,5.197744053260257,2
2007,third,14.698106807219858,2
2008,third,13.0633654415815,2
2009,third,33.21673414223093,2
2010,third,17.89444721985291,2
2011,third,13.732152456195921,2
2012,third,20.16511987282298,2
2013,third,30.178669028806844,2
2014,third,10.01999470169557,2
2015,third,41.26225064689823,2
2016,third,29.54620896624475,2
2017,third,15.695233188635129,2
1986,adult,38.288189939245484,2
1987,adult,14.664008006354035,2
1988,adult,17.7181981083461,2
1989,adult,22.98804004520825,2
1990,adult,9.258354179087728,2
1991,adult,8.543204262837762,2
1992,adult,17.30701533475868,2
1993,adult,19.79327743982942,2
1994,adult,11.678524461484313,2
1995,adult,56.200973046547595,2
1996,adult,10.527308569472156,2
1997,adult,45.725523659571785,2
1998,adult,35.698812120900705,2
1999,adult,18.469604938489496,2
2000,adult,4.729874585907417,2
2001,adult,4.532988945450573,2
2002,adult,5.625913355195228,2
2003,adult,5.5719458084983415,2
2004,adult,2.7194221790917026,2
2005,adult,2.9021945900507355,2
2006,adult,4.914830282583778,2
2007,adult,9.285058250074913,2
2008,adult,17.926790233465397,2
2009,adult,24.399452051658507,2
2010,adult,46.85251301508476,2
2011,adult,75.21153434539237,2
2012,adult,12.476197051884432,2
2013,adult,37.055017036824886,2
2014,adult,46.19905688538846,2
2015,adult,42.96659575641171,2
2016,adult,41.77539887637908,2
2017,adult,32.94663611396382,2
1986,first,103.53411296722763,3
1987,first,25.36776393024214,3
1988,first,14.818030368491344,3
1989,first,36.78275932151428,3
1990,first,43.2462478451112,3
1991,first,56.1855193498092,3
1992,first,25.4762846593826,3
1993,first,193.84414430374835,3
1994,first,135.239273428609,3
1995,first,189.85719956812068,3
1996,first,193.4192263462233,3
1997,first,97.46727851326594,3
1998,first,34.77826649853462,3
1999,first,17.533682958449155,3
2000,first,120.3177108019702,3
2001,first,3.6521818180725556,3
2002,first,30.145062483436273,3
2003,first,16.411134842006504,3
2004,first,20.5301604100807,3
2005,first,4.530648802213389,3
2006,first,54.574849770062116,3
2007,first,8.005378384871436,3
2008,first,16.60327922934366,3
2009,first,19.417259969339643,3
2010,first,9.795129164396892,3
2011,first,19.20019449649215,3
2012,first,23.72626041227864,3
2013,first,44.37660521972956,3
2014,first,75.83663082544774,3
2015,first,24.950816485488826,3
2016,first,99.73391733653588,3
2017,first,16.107078340296415,3
1986,second,17.611508118816005,3
1987,second,109.95590810805986,3
1988,second,46.40528994464857,3
1989,second,9.30771564590254,3
1990,second,23.907847072714148,3
1991,second,111.4614818541445,3
1992,second,225.58585534450341,3
1993,second,108.85051050462494,3
1994,second,124.51039589279047,3
1995,second,69.18180156085965,3
1996,second,141.04215106068284,3
1997,second,86.72211260959288,3
1998,second,5.303766707956002,3
1999,second,121.26874653174046,3
2000,second,14.318064066412015,3
2001,second,36.85196009551864,3
2002,second,8.970118202734676,3
2003,second,90.55268709927356,3
2004,second,8.0477456788155,3
2005,second,32.05002828179138,3
2006,second,40.79705600458733,3
2007,second,5.358208134616798,3
2008,second,16.209999591989703,3
2009,second,12.321091838069794,3
2010,second,22.574591081790494,3
2011,second,20.746042944852213,3
2012,second,16.582172657200374,3
2013,second,10.24890217984383,3
2014,second,193.7468536294805,3
2015,second,58.42356976864402,3
2016,second,12.915190500569926,3
2017,second,29.00068870826292,3
1986,third,40.27091890164905,3
1987,third,28.959455543123998,3
1988,third,46.15238574671714,3
1989,third,49.600687658276556,3
1990,third,14.761345984332312,3
1991,third,17.673482392192092,3
1992,third,35.33266352126585,3
1993,third,63.55030022930002,3
1994,third,158.05873923640598,3
1995,third,79.28243514822034,3
1996,third,101.25119105369923,3
1997,third,102.9670051874306,3
1998,third,217.39677574433668,3
1999,third,12.737290405475639,3
2000,third,54.10906208467687,3
2001,third,15.584284345765383,3
2002,third,54.37337950962516,3
2003,third,15.662353416113236,3
2004,third,11.437435765415689,3
2005,third,4.480194783952629,3
2006,third,10.922684265017129,3
2007,third,24.823572711464355,3
2008,third,16.874547927306732,3
2009,third,10.00958101489466,3
2010,third,20.25756606769266,3
2011,third,8.800113722075938,3
2012,third,14.327284581062475,3
2013,third,17.37834797275982,3
2014,third,17.35488648918288,3
2015,third,35.331270704498145,3
2016,third,118.24965245845891,3
2017,third,26.72105618386558,3
1986,adult,51.611328191047996,3
1987,adult,43.848986460462164,3
1988,adult,28.217350992851568,3
1989,adult,54.76707422164429,3
1990,adult,20.635724916513766,3
1991,adult,23.477553145162588,3
1992,adult,10.034754203415002,3
1993,adult,11.878872904962318,3
1994,adult,30.6342265699208,3
1995,adult,12.02220190445089,3
1996,adult,10.60360015619861,3
1997,adult,22.103945663849032,3
1998,adult,27.21706326789094,3
1999,adult,41.30102634757642,3
2000,adult,5.0057674883279955,3
2001,adult,7.833246568790109,3
2002,adult,2.0302934669673878,3
2003,adult,1.9070925839099344,3
2004,adult,7.234908568728734,3
