year,stage,count,sim
1986,first,140.6153900429638,1
1987,first,213.59740592953383,1
1988,first,1545.2566351279215,1
1989,first,2019.6300107795557,1
1990,first,1145.5330356929453,1
1991,first,1057.0051964209752,1
1992,first,4809.320983914992,1
1993,first,6932.706774439675,1
1994,first,7368.638805426686,1
1995,first,11562.612787990089,1
1996,first,38196.21048472071,1
1997,first,21097.66448018708,1
1998,first,5071.73842931399,1
1999,first,12453.853162918907,1
2000,first,41643.15004052137,1
2001,first,34801.538827504795,1
2002,first,12793.653541792952,1
2003,first,13346.512263459883,1
2004,first,19403.177183499523,1
2005,first,9736.008307587705,1
2006,first,34267.2505169433,1
2007,first,42651.613485064234,1
2008,first,65016.63161695476,1
2009,first,34425.15552549596,1
2010,first,11013.173048159413,1
2011,first,4446.921791168757,1
2012,first,7723.815483297415,1
2013,first,52377.10698463683,1
2014,first,5205.3683979111265,1
2015,first,552.0789418287368,1
2016,first,175.90442808604706,1
2017,first,160.30320411612644,1
1986,second,19.096636935017013,1
1987,second,39.648753546277945,1
1988,second,113.91587539531012,1
1989,second,339.0817134332872,1
1990,second,1665.1396117768904,1
1991,second,676.0860735030961,1
1992,second,1817.6334808380552,1
1993,second,5960.979291241684,1
1994,second,3308.5147383212848,1
1995,second,9286.104758141084,1
1996,second,7792.905617564844,1
1997,second,17690.141243935774,1
1998,second,20312.190857097074,1
1999,second,26162.423779833396,1
2000,second,43972.759948703475,1
2001,second,34152.07263684447,1
2002,second,7792.312548215186,1
2003,second,9677.090283046819,1
2004,second,8403.467198021886,1
2005,second,321648.5100728926,1
2006,second,71093.64329331645,1
2007,second,15253.590717473757,1
2008,second,24114.154493265647,1
2009,second,192002.3129364389,1
2010,second,27020.26546836471,1
2011,second,38114.36905595105,1
2012,second,8036.53152277359,1
2013,second,3000.028156425957,1
2014,second,20290.608208379057,1
2015,second,2231.8133223297937,1
2016,second,1055.3267594680729,1
2017,second,247.68477845704993,1
1986,third,14.676403339737648,1
1987,third,25.431134578664576,1
1988,third,46.26765347517239,1
1989,third,384.43891111560055,1
1990,third,155.68931518565583,1
1991,third,1702.4686251281744,1
1992,third,1481.187455740737,1
1993,third,440.1966469723867,1
1994,third,12174.131829936616,1
1995,third,3291.522145240407,1
1996,third,3890.964947305261,1
1997,third,6180.575710196152,1
1998,third,10125.025832024145,1
1999,third,12734.358978784492,1
2000,third,13978.872594489363,1
2001,third,1507.8106926888809,1
2002,third,32750.190502303773,1
2003,third,39688.26366308042,1
2004,third,4632.684212800695,1
2005,third,17872.515728663002,1
2006,third,27642.786859809337,1
2007,third,87621.8582892648,1
2008,third,15290.55615297059,1
2009,third,23283.698251821243,1
2010,third,100639.17438206838,1
2011,third,61393.7840715692,1
2012,third,22904.66099878595,1
2013,third,3887.0961818412334,1
2014,third,11822.20350654964,1
2015,third,6838.607774433874,1
2016,third,1404.479048534849,1
2017,third,277.5453107118909,1
1986,adult,28.827369173211448,1
1987,adult,22.555032958658344,1
1988,adult,39.77590764540286,1
1989,adult,184.4860852805181,1
1990,adult,65.45698040395888,1
1991,adult,699.8015661346384,1
1992,adult,2595.047919219659,1
1993,adult,2172.132851018242,1
1994,adult,3629.941671341129,1
1995,adult,8730.0086899395,1
1996,adult,4539.294671599449,1
1997,adult,5160.517106050824,1
1998,adult,6147.5587595925645,1
1999,adult,16568.013648440614,1
2000,adult,4062.2198140732075,1
2001,adult,7470.2572271148765,1
2002,adult,8066.9343710420135,1
2003,adult,14126.666091962921,1
2004,adult,3164.73032250664,1
2005,adult,12228.581361460123,1
2006,adult,7266.661806588714,1
2007,adult,10257.667068327646,1
2008,adult,4834.495095911993,1
2009,adult,3579.3096749454257,1
2010,adult,9165.453628973202,1
2011,adult,836.4248829141566,1
2012,adult,2212.199811942197,1
2013,adult,565.1745325198566,1
2014,adult,978.9781838308462,1
2015,adult,303.776290101731,1
2016,adult,3000.4990588475184,1
2017,adult,765.9425829340981,1
1986,first,89.57290021764909,2
1987,first,1017.3268080876735,2
1988,first,201.51195711230028,2
1989,first,26.00277858817344,2
1990,first,26.464173158053335,2
1991,first,112.58137629391697,2
1992,first,286.1406058508346,2
1993,first,310.8615329965632,2
1994,first,135.51480544858413,2
1995,first,97.40305959341562,2
1996,first,52.35565164926032,2
1997,first,209.9375227974876,2
1998,first,215.14438705245112,2
1999,first,128.10043258897034,2
2000,first,106.3664135263996,2
2001,first,24.424991200511453,2
2002,first,53.8990494070932,2
2003,first,21.234168897572868,2
2004,first,93.33501845730068,2
2005,first,397.9994188435596,2
2006,first,197.1115115842309,2
2007,first,1312.6803702392026,2
2008,first,1054.2721648031861,2
2009,first,1599.5446855066416,2
2010,first,3311.9198999848745,2
2011,first,6290.139438281098,2
2012,first,20864.483885011403,2
2013,first,13403.151990563596,2
2014,first,25725.375360668848,2
2015,first,44979.7127273701,2
2016,first,39728.74374360255,2
2017,first,106798.03905809174,2
1986,second,19.150669921849072,2
1987,second,163.5200941144336,2
1988,second,3155.2604328214074,2
1989,second,817.3970776210572,2
1990,second,43.98637697965997,2
1991,second,20.122048394636913,2
1992,second,288.71634681111755,2
1993,second,291.68225247986584,2
1994,second,123.37994329871206,2
1995,second,113.94620400689733,2
1996,second,25.330261657441476,2
1997,second,123.10001305122057,2
1998,second,122.92556837017723,2
1999,second,389.9681859610397,2
2000,second,61.71582627250269,2
2001,second,168.62706042179573,2
2002,second,138.66579070928734,2
2003,second,106.23997367706656,2
2004,second,42.78783880751412,2
2005,second,210.20527731362,2
2006,second,42.714737545385304,2
2007,second,211.80175032223607,2
2008,second,1236.7851599222545,2
2009,second,1181.8523150533872,2
2010,second,922.021435970919,2
2011,second,3806.6944530638443,2
2012,second,4672.997714459064,2
2013,second,24448.116825759913,2
2014,second,6515.304548583976,2
2015,second,54312.51185063997,2
2016,second,241752.25239708493,2
2017,second,53793.87021379593,2
1986,third,73.6371052433824,2
1987,third,5.973003112642596,2
1988,third,52.43448497596445,2
1989,third,1804.5368989052693,2
1990,third,1253.7537139916017,2
1991,third,16.85984769091113,2
1992,third,7.640186783938233,2
1993,third,122.69151342513042,2
1994,third,359.5125658810665,2
1995,third,242.9021971434769,2
1996,third,117.3619214051569,2
1997,third,9.210550760332126,2
1998,third,152.58439869698654,2
1999,third,75.04066717164417,2
2000,third,399.47439312457334,2
